Categoria,Keyword,Frequency
BT1,Calendria,1
BT1,VHDL,1
BT1,VL,4
BT1,abrir,4
BT1,acessar,1
BT1,acionar,1
BT1,acontecer,1
BT1,acoplar,1
BT1,adequar,21
BT1,adiar,1
BT1,afetar,15
BT1,afirmar,2
BT1,aglomerado,1
BT1,agregar,1
BT1,agudar,1
BT1,ajustar,1
BT1,ajustir,1
BT1,alcançar,2
BT1,aleatório,1
BT1,algoritr,1
BT1,alimentar,1
BT1,alistar,2
BT1,aliste,1
BT1,alister,1
BT1,alvenar,1
BT1,amar,1
BT1,amarrar,1
BT1,ameaçar,1
BT1,aminoácir,2
BT1,andar,1
BT1,anotar,6
BT1,aplicar,4
BT1,apoiar,2
BT1,aprender,2
BT1,apresentar,1
BT1,apropriar,3
BT1,aproveiter,1
BT1,aproximar,3
BT1,armar,3
BT1,armazenar,2
BT1,assistir,1
BT1,associar,2
BT1,associer,1
BT1,assíncronar,1
BT1,atingir,2
BT1,atividader,1
BT1,atmosfera,1
BT1,atuar,1
BT1,automatizado,1
BT1,automatizar,2
BT1,autossomo,1
BT1,avaliar,1
BT1,balancear,3
BT1,basear,3
BT1,beber,1
BT1,bloquear,3
BT1,calcular,6
BT1,cana-de-açúcar,1
BT1,causar,4
BT1,certificado,1
BT1,chamar,4
BT1,citar,121
BT1,classificar,9
BT1,cobrir,1
BT1,comandar,1
BT1,combinar,3
BT1,comedir,1
BT1,começar,1
BT1,comparer,1
BT1,compor,1
BT1,comprometer,1
BT1,comutar,1
BT1,concentrar,1
BT1,conduzir,7
BT1,conectar,3
BT1,configurar,13
BT1,confinar,1
BT1,conhecer,1
BT1,conseguir,45
BT1,conservar,2
BT1,considerar,13
BT1,construar,3
BT1,construir,4
BT1,contar,4
BT1,controlar,5
BT1,convertar,1
BT1,converter,5
BT1,correto,1
BT1,criar,8
BT1,cromosso,1
BT1,cumprir,2
BT1,curvar,2
BT1,dar,38
BT1,declarar,6
BT1,definar,17
BT1,definir,30
BT1,degenerar,1
BT1,delete,1
BT1,delinear,1
BT1,demanda,1
BT1,demonstrar,4
BT1,depender,2
BT1,derivar,1
BT1,derive,6
BT1,deriver,1
BT1,derivir,1
BT1,desabilitar,1
BT1,descarga,1
BT1,descrevar,5
BT1,descrever,63
BT1,desejar,2
BT1,desembaralhar,1
BT1,desenhar,45
BT1,desenher,22
BT1,destruir,1
BT1,detalhar,6
BT1,detectar,1
BT1,determinar,7
BT1,digar,1
BT1,diretriz,1
BT1,discutar,33
BT1,discutir,1
BT1,distribuir,2
BT1,dizer,6
BT1,dobrar,4
BT1,driver,1
BT1,eclipsar,1
BT1,ela,1
BT1,elaborar,2
BT1,ele,2
BT1,embaralhar,1
BT1,emitir,1
BT1,encadear,13
BT1,encontrar,5
BT1,encontrariar,1
BT1,endurecer,1
BT1,enfrentar,1
BT1,ensinar,1
BT1,entender,6
BT1,entrar,1
BT1,enumerar,10
BT1,enumerir,1
BT1,envolver,13
BT1,escalonar,1
BT1,escrever,133
BT1,espalhar,2
BT1,especificar,1
BT1,esperar,3
BT1,estabelecer,6
BT1,estado,2
BT1,estar,1
BT1,estrelinhar,1
BT1,estruturar,2
BT1,estudar,1
BT1,evitar,3
BT1,excluir,1
BT1,executar,4
BT1,exigir,1
BT1,existir,3
BT1,expander,1
BT1,explicar,61
BT1,expliquir,2
BT1,exprer,1
BT1,expressar,2
BT1,fabricar,1
BT1,facilitar,1
BT1,falar,4
BT1,falha,1
BT1,far,1
BT1,fazer,5
BT1,featurar,1
BT1,fechar,3
BT1,ficar,1
BT1,finito,1
BT1,flangear,1
BT1,flip-flop,2
BT1,fluer,1
BT1,fluidizar,1
BT1,focar,1
BT1,formar,4
BT1,fornecer,7
BT1,forneçar,4
