Questões,Categoria,id_pergunta
Qual é a proporção aproximada da população dos EUA que vive em fazendas?,BT1,1
Rotule corretamente os lobos cerebrais indicados no diagrama abaixo,BT1,2
Defina juros compostos.,BT1,3
Defina quatro tipos de rastreabilidade,BT1,4
Defina mercantilismo.,BT1,5
"Defina margem de riacho, planície de inundação e substrato.",BT1,6
Defina o significado do lema olímpico.,BT1,7
Desenhe e rotule um diagrama de um fluxo típico.,BT1,8
Desenhar o esboço básico de uma página de anotações usando o Método Cornell?,BT1,9
 Desenhe o diagrama de blocos da unidade central de processamento,BT1,10
Desenhe o fluxograma do sistema PNK,BT1,11
Quantas instruções existem no conjunto de instruções de um computador RISC?,BT1,12
Quantos quilômetros da sua casa até a universidade,BT1,13
Quantas instruções de loop estão disponíveis em C++?,BT1,14
Quantos estados existem nos EUA?,BT1,15
Quantos anos esse animal vive?,BT1,16
Quantos dados podem ser armazenados na memória cache,BT1,17
Quanto ele pagou pelo carro?,BT1,18
Quanto pesa você?,BT1,19
Quanto tempo ele levou para construir uma casa,BT1,20
Quanta água um elefante bebe,BT1,21
Identificar uma frase como uma comparação,BT1,22
"Identificar uma propriedade (comutativa, aditiva, etc.)",BT1,23
Identificar frações a partir de uma representação pictórica,BT1,24
Identificar posições ordinais,BT1,25
Identifique a definição correta de osmose,BT1,26
Identifique os cinco principais profetas do Antigo Testamento.,BT1,27
Identifique a parte de uma célula eucariótica.,BT1,28
Identificar os componentes periféricos padrão de um computador.,BT1,29
Identifique qual palavra começa com o mesmo som que o s em sun (Conhecimento da letra s),BT1,30
em quais países a língua árabe é falada,BT1,31
em que continente fica o estado do suriname,BT1,32
Em que parte do mundo ele mora,BT1,33
Rotule qualquer aparelho esportivo olímpico com características de design.,BT1,34
Rotule as partes dos seguintes insetos: Gafanhoto,BT1,35
Rotule as partes do microscópio mostradas à direita,BT1,36
Liste quatro tipos de cláusulas mencionadas no artigo,BT1,37
Liste palavras reservadas na programação C.,BT1,38
Liste as características peculiares ao movimento cubista.,BT1,39
Liste os níveis na Taxonomia de Bloom.,BT1,40
Liste o procedimento para desenhar um diagrama de potencial misto ou de Evans,BT1,41
Liste as etapas envolvidas na titulação.,BT1,42
Liste três características que são exclusivas do movimento cubista.,BT1,43
Liste três sistemas econômicos predominantes que existem,BT1,44
Olhe para o símbolo. Qual é o propósito do símbolo em um mapa?,BT1,45
Faça uma lista de fatos que você aprendeu com a história.,BT1,46
Cite 5 etapas que seguem a tomada de notas (dentro de 24 horas ou menos)?,BT1,47
Diga o nome do artista que pintou a Mona Lisa.,BT1,48
Cite os grupos de alimentos e diga pelo menos dois itens alimentares de cada grupo.,BT1,49
Cite os quatro principais grupos alimentares.,BT1,50
Diga o nome dos personagens principais da história.,BT1,51
Nomeie a propriedade que afirma que,BT1,52
"Por favor, identifique o diagrama abaixo:",BT1,53
Relembre fatos matemáticos básicos,BT1,54
Relembre locais de eventos históricos,BT1,55
Lembre-se da definição do tipo de dados da fórmula da sua tarefa 2.,BT1,56
Lembre-se da equação da Lei dos Gases Ideais.,BT1,57
Lembre-se do seguinte exemplo pictórico de uma implementação de algumas operações de fila,BT1,58
lembre-se das restrições de tensão de alimentação,BT1,59
Recite uma política de imigração na Europa.,BT1,60
"Recite o poema ""Acidente de carro"".",BT1,61
Recite os princípios da Lei de Proteção de Dados.,BT1,62
Recite a lei de Gauss,BT1,63
Cite quatro atributos de um software bem projetado.,BT1,64
Diga como encontrar uma palavra em um dicionário,BT1,65
Cite as características de cada tipo de ensaio de corrosão estudado,BT1,66
Estabeleça a definição de aplicação na Taxonomia de Bloom.,BT1,67
Declare a fórmula para a área de um círculo,BT1,68
Estabelecer as diretrizes para projetar um sistema de proteção anódica,BT1,69
Explique o padrão para expressar o tempo em francês.,BT1,70
Compare Calliope com Howie. Use o banco de palavras.,BT2,71
Comparar eventos históricos com situações contemporâneas,BT2,72
Complete uma analogia (tarefas de analogia são tarefas de inferência),BT2,73
Descreva 4 tipos de acoplamento em design de software.,BT2,74
Descreva como Phillip e Timothy sobreviveram no Cay.,BT2,75
Descreva em prosa o que é mostrado em forma de gráfico.,BT2,76
Descreva com suas próprias palavras como pegar um livro emprestado na biblioteca.,BT2,77
Descreva com suas próprias palavras como copiar texto de um programa para outro.,BT2,78
Descreva com suas próprias palavras o que acontece quando a velocidade de uma corrente diminui.,BT2,79
Descreva com suas próprias palavras o que significa uma torção no tornozelo.,BT2,80
Descreva o transporte nuclear para um leigo.,BT2,81
Descreva o Princípio de Pareto na garantia de qualidade de software estatístico.,BT2,82
Descreva o que vai em cada uma das quatro áreas na primeira página de notas,BT2,83
Descreva o que aconteceu enquanto o Hato afundava.,BT2,84
Descreva como o método de polarização linear pode produzir taxas de corrosão,BT2,85
Descreva as principais diferenças clínicas entre dor visceral e somática,BT2,86
Descreva brevemente a abordagem do autor às responsabilidades da declaração GOTO,BT2,87
Descreva o que aconteceu em...?,BT2,88
Determine o ponto de vista do autor,BT2,89
Determinar o próximo número em uma sequência,BT2,90
Discuta a natureza do socialismo.,BT2,91
Explique como Timóteo salvou a vida de Filipe.,BT2,92
Explique com suas próprias palavras como criar uma consulta em um banco de dados.,BT2,93
Explique com suas próprias palavras o que é um gene recessivo.,BT2,94
Explique com suas próprias palavras o que você quer dizer com o termo economia?,BT2,95
Explique com suas próprias palavras o que significa mercantilismo.,BT2,96
Explique as causas dos eventos históricos,BT2,97
Explique a propriedade comunicativa.,BT2,98
Explique o duplo sentido que o autor atribui ao termo “descrições de ações sucessivas”,BT2,99
Explique os possíveis usos descritos em aula para o espaço à esquerda da linha vertical.,BT2,100
Explique o processo (paráfrase) para encontrar o perímetro de um jardim retangular,BT2,101
Explique o que um poema significa.,BT2,102
"Explique o que o autor quer dizer com a afirmação ""nossos poderes intelectuais são voltados para dominar relações estáticas"".",BT2,103
Expresse sua opinião sobre 'Drogas no Esporte' através de poesia.,BT2,104
De um projeto para descrever o artigo retratado.,BT2,105
"Dado um gráfico de tendências de produção de automóveis, descreva o que o gráfico representa em um memorando para seu chefe.",BT2,106
" Dados esses cinco inibidores de corrosão, V, W, X, Y, Z, identifique quais são passivadores",BT2,107
"Ilustre esta legenda: ""As Olimpíadas como um evento de mídia na sociedade da informação""",BT2,108
Ilustre qual você acha que era a ideia principal.,BT2,109
Explique em uma frase a ideia principal de uma passagem escrita.,BT2,110
"Em uma frase, ilustre o ponto principal de uma passagem escrita.",BT2,111
Interprete as imagens.,BT2,112
Descreva com suas próprias palavras como o anúncio da pasta de tomate da Leggo vende seu produto.,BT2,113
Descreva o insight mais importante do conto.,BT2,114
Descreva os mecanismos empregados pelas bactérias que lhes permitem evitar a destruição fagocitária.,BT2,115
"Descreva um ""plano de ataque"" que permitirá que você teste sua hipótese usando ferramentas de modelagem molecular computacional",BT2,116
Parafrasear um discurso importante,BT2,117
Parafraseie o que Hamlet está dizendo em seu solilóquio.,BT2,118
Parafraseie o poema com suas próprias palavras,BT2,119
"Parafraseie este poema sobre o xeque Schubli, explicando o que ele estava dizendo sobre as características de um amigo",BT2,120
Descreva a saída deste fragmento de programa:,BT2,121
 Classificar tipos de inibidores de corrosão,BT2,122
você classificaria o diodo zener neste circuito como um regulador de tensão em série ou um regulador de tensão em derivação,BT2,123
"Classifique os seguintes protocolos: IP, TCP, HTTP de acordo com a classificação ISO OSI",BT2,124
"Classifique as seguintes substâncias como partícula, átomo, elemento, molécula, composto",BT2,125
Como você classificaria a localização geográfica da sua escola?,BT2,126
Classifique os animais em dois grupos.,BT2,127
Classifique as celebrações em categorias familiares e comunitárias.,BT2,128
"Classifique sapos, rãs e outros anfíbios.",BT2,129
Reafirme a ideia principal da história com suas próprias palavras.,BT2,130
Repita o lema olímpico com suas próprias palavras.,BT2,131
Reconte a história com suas palavras.,BT2,132
Reescreva os princípios da elaboração de testes.,BT2,133
Reescreva a equação prevista para a lei dos gases ideais,BT2,134
Reescreva a matriz de Markov para levar em conta essa pequena mudança.,BT2,135
"Reescreva a frase em sua cabeça, seguindo as instruções fornecidas abaixo",BT2,136
Reescreva uma parte do poema usando um falante diferente,BT2,137
Selecione o melhor título para uma passagem,BT2,138
Descreva com suas próprias palavras a regra para bolas e strikes no beisebol.,BT2,139
Diga com suas próprias palavras onde na biblioteca você pode encontrar edições anteriores de periódicos que não estão mais nas prateleiras de exposição.,BT2,140
Aplicar leis estatísticas para avaliar a confiabilidade de um teste escrito.,BT3,141
Aplique sombreamento para produzir profundidade no desenho.,BT3,142
Aplicar a regra do direito a uma nova situação,BT3,143
Aplique a técnica de narrativa aqui a uma pequena história sua.,BT3,144
Aplique sua compreensão do espírito olímpico para desenvolver um novo lema.,BT3,145
Mostrar o valor de x após executar este fragmento de programa,BT3,146
Calcule x na seguinte equação: 12x=36,BT3,147
Calcule a deflexão de uma viga sob carga uniforme.,BT3,148
 Calcule o número de ânodos de sacrifício que seriam necessários para formar um depósito calcário em uma estaca de aço imersa em água do mar.,BT3,149
Calcule a taxa de fragmentação de habitat na Cordilheira Frontal do Colorado na última década.,BT3,150
Você pode aplicar o método usado a alguma experiência própria...?,BT3,151
Você pode agrupar por características como...?,BT3,152
Categorize as imagens e adicione-as à exibição na parede.,BT3,153
Escolha um país que não compete nas Olimpíadas e explique por que esse país não é um membro olímpico.,BT3,154
Escolha qualquer presidente dos EUA e explique como ele exerceu seu poder como Comandante em Chefe das Forças Armadas.,BT3,155
Calcule a área de círculos reais.,BT3,156
Calcular o volume de um cilindro,BT3,157
Construa um modelo para demonstrar como funcionará.,BT3,158
Demonstre como as estações ocorrem.,BT3,159
Demonstre como isso poderia funcionar em um ambiente industrial?,BT3,160
Demonstre o uso do OPAC e seu conhecimento de organização de bibliotecas para encontrar um livro sobre tartarugas.,BT3,161
Demonstre como os resultados específicos de aprendizagem dos alunos da sua unidade estão vinculados à missão da UAM.,BT3,162
Derive um modelo cinético a partir de dados experimentais.,BT3,163
Descreva um experimento para responder à questão dos efeitos do peso na queda de um objeto.,BT3,164
Crie uma estratégia de mercado para seu produto usando uma estratégia conhecida como modelo.,BT3,165
Crie um programa de folha de pagamento simples que calcule o salário líquido para aqueles que trabalham 40 horas ou menos e o salário líquido para aqueles que trabalham mais de 40 horas.,BT3,166
"Desenhe 3 imagens mostrando o começo, o meio e o fim da história.",BT3,167
Desenhe a casa dos ursos.,BT3,168
Desenhe o vestido que Cinderela usou no baile.,BT3,169
"A partir das informações fornecidas, você pode desenvolver um conjunto de instruções sobre...?",BT3,170
Como alguém poderia modificar o Método Cornell para torná-lo eficaz na pesquisa de um tópico para um artigo?,BT3,171
Como os estilos de vida nos Estados Unidos poderiam ser modificados se um sistema mais socialista fosse adotado?,BT3,172
"Se as notas estiverem disponíveis no site do professor, como elas devem ser usadas?",BT3,173
"Em uma simulação de ensino com seus colegas interpretando alunos do 6º ano, demonstre o princípio do reforço nas interações em sala de aula e prepare uma descrição de meia página do que aconteceu durante a simulação que validou o princípio.",BT3,174
Faça um diorama para ilustrar um evento importante.,BT3,175
Faça um mapa de papel machê para incluir informações relevantes sobre um evento.,BT3,176
Faça um álbum de recortes sobre as áreas de estudo.,BT3,177
Crie um jogo de quebra-cabeça usando as ideias da área de estudo.,BT3,178
Modele uma Vila Olímpica para o novo Milênio.,BT3,179
Participe de uma eleição simulada,BT3,180
Preveja o que acontece com X se Y aumentar.,BT3,181
Finja que você é um dos personagens do livro. Escreva um diário sobre os acontecimentos da sua vida por dois dias consecutivos.,BT3,182
Relacione o princípio do reforço às interações em sala de aula.,BT3,183
Relacionar mapa topográfico com características de campo,BT3,184
Conte sua história mais poderosa em que o uso da tecnologia na sala de aula produziu um resultado significativo com um ou mais alunos,BT3,185
Como você relacionaria o conceito de posição com a estratégia de posição?,BT3,186
"Mostre, por meio de dramatização, a cena final do romance.",BT3,187
Resolver um problema matemático usando um procedimento ou fórmula familiar,BT3,188
"Resolva os dez problemas de multiplicação de frações a seguir. Por favor, certifique-se de mostrar todo o seu trabalho.",BT3,189
Você resolveria esses dois problemas usando abordagens semelhantes?,BT3,190
Use Laplace para resolver os seguintes problemas,BT3,191
 Você consegue resolver o seguinte problema?,BT3,192
Como especificar a energia de impacto e a temperatura do teste de impacto do material no Código,BT3,193
Como especificar as restrições sintáticas,BT3,194
Especifique um autômato finito determinístico (DFA) que reconheça o,BT3,195
Tire uma coleção de fotografias para demonstrar um ponto específico.,BT3,196
Use um modelo de custeio para calcular preços de produtos para maximizar lucros e minimizar custos.,BT3,197
Use um manual para calcular o tempo de férias de um funcionário.,BT3,198
Use a distância percorrida e o custo da gasolina para calcular o custo de uma viagem de ônibus usando uma planilha.,BT3,199
Use a regra do ponto e vírgula em uma frase.,BT3,200
Quem pode usar o que sabemos sobre sonetos e terminar este poema?,BT3,201
Esta informação seria útil se você tivesse um...?,BT3,202
Esboce uma previsão das linhas de campo para o arranjo dos eletrodos mostrados na Figura 2,BT3,203
Esboce as curvas do corpo negro para a radiação emitida pelo Sol e pela Terra,BT3,204
Esboce um processo típico de absorção em uma coluna empacotada com regeneração na forma de,BT3,205
